id,department,title,instructor,url,level,projects (no examples),image galleries,selected lecture notes,projects and examples,assignments (no solutions),selected video lectures,faculty introduction - video,class competition - video,assignments and solutions,exams and solutions,lecture notes,exams (no solutions),instructor insights,this course at mit,online textbooks,video lectures,demonstration - video,guest lecture - video,subtitles/transcript,images on flickr,special feature - video,field trip - video,tutorial - video,course publicity,recitation videos,audio lectures,selected audio lectures,guest lecture - audio,demonstration - audio,workshop video,special feature - audio,music - audio
16.00_278,Aeronautics And Astronautics,Introduction to Aerospace Engineering and Design,Prof. Dava Newman,"<a href=""http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-00-introduction-to-aerospace-engineering-and-design-spring-2003"">Course Page</a>",Undergraduate,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16.00AJ_2f7,Mechanical Engineering,"Exploring Sea, Space, & Earth: Fundamentals of Engineering Design",Prof. Alexandra Techet,"<a href=""http://ocw.mit.edu/courses/mechanical-engineering/2-00aj-exploring-sea-space-earth-fundamentals-of-engineering-design-spring-2009"">Course Page</a>",Undergraduate,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16.01_355,Aeronautics And Astronautics,"Unified Engineering I, II, III, & IV",Prof. Mark DrelaProf. Steven HallProf. Paul A. LagaceProf. Ingrid Kristina LundqvistProf. Gustaf NaeserProf. Heidi PerryProf. Raúl RadovitzkyProf. Ian A. WaitzCol. Peter YoungProf. Jennifer L. Craig,"<a href=""http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-01-unified-engineering-i-ii-iii-iv-fall-2005-spring-2006"">Course Page</a>",Undergraduate,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16.050_1be,Aeronautics And Astronautics,Thermal Energy,Prof. Zoltan Spakovszky,"<a href=""http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-050-thermal-energy-fall-2002"">Course Page</a>",Undergraduate,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16.06_36a,Aeronautics And Astronautics,Principles of Automatic Control,Prof. Steven Hall,"<a href=""http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-06-principles-of-automatic-control-fall-2012"">Course Page</a>",Undergraduate,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16.07_263,Aeronautics And Astronautics,Dynamics,Prof. Sheila WidnallProf. John DeystProf. Edward Greitzer,"<a href=""http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-07-dynamics-fall-2009"">Course Page</a>",Undergraduate,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16.100_1e2,Aeronautics And Astronautics,Aerodynamics,Prof. David Darmofal,"<a href=""http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-100-aerodynamics-fall-2005"">Course Page</a>",Undergraduate,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16.20_3a5,Aeronautics And Astronautics,Structural Mechanics,Prof. Paul A. Lagace,"<a href=""http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-20-structural-mechanics-fall-2002"">Course Page</a>",Undergraduate,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16.21_b3,Aeronautics And Astronautics,Techniques for Structural Analysis and Design,Prof. Raúl Radovitzky,"<a href=""http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-21-techniques-for-structural-analysis-and-design-spring-2005"">Course Page</a>",Undergraduate,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
16.30_159,Aeronautics And Astronautics,Feedback Control Systems,Prof. Jonathan P. HowProf. Emilio Frazzoli,"<a href=""http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-30-feedback-control-systems-fall-2010"">Course Page</a>",Undergraduate,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
